X_1 Y_1 X_2 Y_2 X_3 Y_3 X_4 Y_4 X_5 Y_5 X_6 Y_6 X_7 Y_7 X_8 Y_8 X_9 Y_9 X_10 Y_10 
5.67668 5.1305 6.13 6.21375 5.96186 -0.491074 -0.00862917 3.34059 5.42438 1.78277 -1.08327 8.28424 4.89367 9.46763 5.31684 3.04684 2.67012 5.67847 7.86515 5.44521
5.69214 5.09565 6.03436 6.21488 6.06796 -0.473891 0.0258452 3.25943 5.59718 1.8036 -1.11789 8.21702 4.799 9.45848 5.38599 3.03171 2.65216 5.59532 7.85246 5.56492
5.71197 5.06664 5.94045 6.20938 6.17419 -0.455102 0.061783 3.17872 5.77126 1.83716 -1.15166 8.14939 4.70454 9.44739 5.45624 3.01828 2.6371 5.51137 7.83356 5.68356
5.73562 5.04386 5.84857 6.19745 6.28046 -0.434751 0.0991827 3.09848 5.94577 1.88376 -1.18457 8.08135 4.61035 9.43439 5.52758 3.00642 2.62498 5.42668 7.80864 5.80075
5.76257 5.02762 5.75901 6.17929 6.38666 -0.412873 0.138041 3.01872 6.11962 1.94364 -1.21661 8.0129 4.5165 9.41948 5.60003 2.996 2.61584 5.34132 7.77789 5.91613
5.79226 5.01816 5.67208 6.15507 6.49269 -0.389491 0.178354 2.93947 6.29141 2.01693 -1.24778 7.94405 4.42306 9.40266 5.67364 2.98694 2.60971 5.25537 7.74154 6.02938
5.82413 5.01567 5.58811 6.12496 6.59846 -0.364614 0.220115 2.86074 6.45939 2.1036 -1.27807 7.87483 4.33008 9.38394 5.74849 2.97918 2.60661 5.16892 7.69981 6.14017
5.85757 5.02027 5.50747 6.08915 6.70387 -0.338237 0.263316 2.78256 6.62153 2.20345 -1.30747 7.80523 4.23765 9.36333 5.82468 2.97271 2.60657 5.08203 7.65295 6.24822
5.89187 5.032 5.4306 6.04783 6.80884 -0.310346 0.307946 2.70492 6.77555 2.31616 -1.33598 7.73526 4.14582 9.34084 5.90231 2.96762 2.60961 4.9948 7.60119 6.35328
5.92626 5.05079 5.358 6.00123 6.91331 -0.280914 0.353996 2.62787 6.91906 2.44127 -1.36359 7.66495 4.05466 9.31647 5.98145 2.96407 2.61574 4.90731 7.54477 6.45512
5.95987 5.07645 5.29019 5.94962 7.01724 -0.249914 0.401452 2.55139 7.04967 2.57823 -1.39029 7.59429 3.96424 9.29023 6.06219 2.96232 2.62496 4.81964 7.48392 6.55354
5.99178 5.10867 5.22775 5.89335 7.12059 -0.217317 0.450301 2.47553 7.16509 2.72636 -1.41608 7.52331 3.87461 9.26211 6.1446 2.96271 2.63726 4.73188 7.41889 6.64838
6.02102 5.14697 5.17123 5.83283 7.22333 -0.183101 0.500529 2.40028 7.26322 2.88479 -1.44095 7.45201 3.78585 9.23211 6.22873 2.9657 2.65265 4.64411 7.34988 6.7395
6.04669 5.19074 5.12113 5.76853 7.32544 -0.147251 0.552123 2.32566 7.34223 3.05223 -1.46489 7.38041 3.69799 9.20024 6.3146 2.97188 2.6711 4.55643 7.27712 6.82677
6.06795 5.23922 5.07789 5.70099 7.42691 -0.109764 0.605069 2.25168 7.4007 3.2267 -1.4879 7.30851 3.61109 9.16648 6.40216 2.98196 2.6926 4.4689 7.20079 6.91011
6.08411 5.29156 5.04182 5.63081 7.5277 -0.0706491 0.659353 2.17836 7.438 3.40512 -1.50996 7.23633 3.52519 9.13083 6.49124 2.99672 2.71713 4.38163 7.12111 6.98943
6.09463 5.34676 5.01311 5.55863 7.62781 -0.0299312 0.714963 2.10573 7.45462 3.5832 -1.53107 7.16387 3.44034 9.09329 6.58149 3.01688 2.74467 4.29471 7.03825 7.06468
